numero,enunciado,A,B,C,D,E,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,ANO,TP_LINGUA,IN_ITEM_ADAPTADO,TP_VERSAO_DIGITAL
46.0,"Hipoxia ou mal das alturas consiste na diminuição de
oxigênio (O2) no sangue arterial do organismo. Por essa
razão, muitos atletas apresentam mal-estar (dores de
cabeça, tontura, falta de ar etc.) ao praticarem atividade
física em altitudes elevadas. Nessas condições, ocorrerá
uma diminuição na concentração de hemoglobina
oxigenada (HbO2) em equilíbrio no sangue, conforme a

relação:

Hb (aq) + O2(aq) HbO2(aq)
Mal da montanha. 
Disponível em: Lnk

A alteração da concentração de hemoglobina oxigenada
no sangue ocorre por causa do(a)",elevação da pressão arterial.,aumento da temperatura corporal.,redução da temperatura do ambiente.,queda da pressão parcial de oxigênio.,diminuição da quantidade de hemácias.,46.0,CN,83631.0,D,14.0,0.0,,150853,0.76055,30935.0,Azul,235.0,2015.0,,0.0,
47.0,"A indústria têxtil utiliza grande quantidade de corantes
no processo de tingimento dos tecidos. O escurecimento
das águas dos rios causado pelo despejo desses
corantes pode desencadear uma série de problemas no
ecossistema aquático.
Considerando esse escurecimento das águas, o impacto
negativo inicial que ocorre é o(a)",eutrofização.,proliferação de algas.,inibição da fotossíntese.,fotodegradação da matéria orgânica.,aumento da quantidade de gases dissolvidos.,47.0,CN,39964.0,C,12.0,0.0,,232469,0.72457,20376.0,Azul,235.0,2015.0,,0.0,
48.0,"Muitos estudos de síntese e endereçamento de
proteínas utilizam aminoácidos marcados radioativamente
para acompanhar as proteínas, desde fases iniciais de
sua produção até seu destino final. Esses ensaios foram
muito empregados para estudo e caracterização de
células secretoras.
Após esses ensaios de radioatividade, qual gráfico
representa a evolução temporal da produção de proteínas
e sua localização em uma célula secretora?",Img,Img,Img,Img,Img,48.0,CN,17715.0,C,15.0,0.0,,263796,0.87889,18468.0,Azul,235.0,2015.0,,0.0,
49.0,"Um carro solar é um veículo que utiliza apenas a
energia solar para a sua locomoção. Tipicamente, o carro
contém um painel fotovoltaico que converte a energia
do Sol em energia elétrica que, por sua vez, alimenta
um motor elétrico. A imagem mostra o carro solar Tokai
Challenger, desenvolvido na Universidade de Tokai, no
Japão, e que venceu o World Solar Challenge de 2009,
uma corrida internacional de carros solares, tendo atingido
uma velocidade média acima de 100 km/h.
Disponível em: Lnk 
Considere uma região plana onde a insolação
(energia solar por unidade de tempo e de área que chega
à superfície da Terra) seja de 1 000 W/m2

, que o carro
solar possua massa de 200 kg e seja construído de forma
que o painel fotovoltaico em seu topo tenha uma área de
9,0 m2
e rendimento de 30%.
Desprezando as forças de resistência do ar, o tempo que
esse carro solar levaria, a partir do repouso, para atingir a
velocidade de 108 km/h é um valor mais próximo de","1,0 s.","4,0 s.",10 s.,33 s.,300 s.,49.0,CN,55314.0,D,23.0,0.0,,5518,1.28254,645.0,Azul,235.0,2015.0,,0.0,
50.0,"A radiação ultravioleta (UV) é dividida, de acordo
com três faixas de frequência, em UV-A, UV-B e UV-C,
conforme a figura.
Img
Para selecionar um filtro solar que apresente absorção
máxima na faixa UV-B, uma pessoa analisou os espectros
de absorção da radiação UV de cinco filtros solares: 
Considere:
velocidade da luz = 3,0×10e8 m/s e 1 nm = 1,0×10e-9 m.
O filtro solar que a pessoa deve selecionar é o",V.,IV.,III.,II.,I.,50.0,CN,77480.0,B,7.0,0.0,,277559,1.51824,17321.0,Azul,235.0,2015.0,,0.0,
51.0,"Um grupo de pesquisadores desenvolveu um
método simples, barato e eficaz de remoção de petróleo
contaminante na água, que utiliza um plástico produzido a
partir do líquido da castanha-de-caju (LCC). A composição
química do LCC é muito parecida com a do petróleo e suas
moléculas, por suas características, interagem formando
agregados com o petróleo. Para retirar os agregados da
água, os pesquisadores misturam ao LCC nanopartículas
magnéticas.

Disponível em: Lnk

Essa técnica considera dois processos de separação de
misturas, sendo eles, respectivamente,",flotação e decantação.,decomposição e centrifugação.,floculação e separação magnética.,destilação fracionada e peneiração.,dissolução fracionada e magnetização.,51.0,CN,26581.0,C,27.0,0.0,,253298,0.90084,19471.0,Azul,235.0,2015.0,,0.0,
52.0,"A soda cáustica pode ser usada no desentupimento
de encanamentos domésticos e tem, em sua composição,
o hidróxido de sódio como principal componente, além de
algumas impurezas. A soda normalmente é comercializada
na forma sólida, mas que apresenta aspecto “derretido”
quando exposta ao ar por certo período.
O fenômeno de “derretimento” decorre da",absorção da umidade presente no ar atmosférico.,fusão do hidróxido pela troca de calor com o ambiente.,reação das impurezas do produto com o oxigênio do ar.,"adsorção de gases atmosféricos na superfície do
sólido.","reação do hidróxido de sódio com o gás nitrogênio
presente no ar.",52.0,CN,15919.0,A,18.0,0.0,,160247,1.64071,16849.0,Azul,235.0,2015.0,,0.0,
53.0,"Certos tipos de superfícies na natureza podem
refletir luz de forma a gerar um efeito de arco-íris.
Essa característica é conhecida como iridescência
e ocorre por causa do fenômeno da interferência de
película fina. A figura ilustra o esquema de uma fina
camada iridescente de óleo sobre uma poça d’água.
Parte do feixe de luz branca incidente 1 reflete na
interface ar/óleo e sofre inversão de fase 2 , o que
equivale a uma mudança de meio comprimento de
onda. A parte refratada do feixe 3 incide na interface
óleo/água e sofre reflexão sem inversão de fase 4 .
O observador indicado enxergará aquela região do filme
com coloração equivalente à do comprimento de onda
que sofre interferência completamente construtiva entre
os raios 2 e 5 , mas essa condição só é possível para
uma espessura mínima da película. Considere que o
caminho percorrido em 3 e 4 corresponde ao dobro da
espessura E da película de óleo.
Img
Disponível em: Lnk
Expressa em termos do comprimento de onda (λ), a
espessura mínima é igual a",λ/4,λ/2,3λ/4,λ.,2λ.,53.0,CN,82658.0,A,1.0,0.0,,59574,4.16126,8549.0,Azul,235.0,2015.0,,0.0,
54.0,"Um importante princípio da biologia, relacionado à
transmissão de caracteres e à embriogênese humana,
foi quebrado com a descoberta do microquimerismo
fetal. Microquimerismo é o nome dado ao fenômeno
biológico referente a uma pequena população de células
ou DNA presente em um indivíduo, mas derivada de um
organismo geneticamente distinto. Investigando-se a
presença do cromossomo Y, foi revelado que diversos
tecidos de mulheres continham células masculinas.
A análise do histórico médico revelou uma correlação
extremamente curiosa: apenas as mulheres que antes
tiveram filhos homens apresentaram microquimerismo
masculino. Essa correlação levou à interpretação de que
existe uma troca natural entre células do feto e maternas
durante a gravidez.
Disponível em: Lnk
O princípio contestado com essa descoberta, relacionado
ao desenvolvimento do corpo humano, é o de que","o fenótipo das nossas células pode mudar por
influência do meio ambiente.","a dominância genética determina a expressão de
alguns genes.","as mutações genéticas introduzem variabilidade no
genoma.","as mitocôndrias e o seu DNA provêm do gameta
materno.","as nossas células corporais provêm de um único
zigoto.",54.0,CN,37144.0,E,13.0,0.0,,327378,1.23988,10045.0,Azul,235.0,2015.0,,0.0,
55.0,"A hidroponia pode ser definida como uma técnica
de produção de vegetais sem necessariamente a
presença de solo. Uma das formas de implementação
é manter as plantas com suas raízes suspensas em
meio líquido, de onde retiram os nutrientes essenciais.
Suponha que um produtor de rúcula hidropônica
precise ajustar a concentração do íon nitrato (NO3
−)
para 0,009 mol/L em um tanque de 5 000 litros e, para
tanto, tem em mãos uma solução comercial nutritiva
de nitrato de cálcio 90 g/L. As massas molares dos
elementos N, O e Ca são iguais a 14 g/mol, 16 g/mol e
40 g/mol, respectivamente.
Qual o valor mais próximo do volume da solução nutritiva,
em litros, que o produtor deve adicionar ao tanque?",26,41,45,51,82,55.0,CN,82032.0,B,27.0,0.0,,131392,3.10608,1913.0,Azul,235.0,2015.0,,0.0,
56.0,"Algumas raças de cães domésticos não conseguem
copular entre si devido à grande diferença em seus
tamanhos corporais. Ainda assim, tal dificuldade
reprodutiva não ocasiona a formação de novas espécies
(especiação).
Essa especiação não ocorre devido ao(à)",oscilação genética das raças.,convergência adaptativa das raças.,isolamento geográfico entre as raças.,seleção natural que ocorre entre as raças.,manutenção do fluxo gênico entre as raças.,56.0,CN,37729.0,E,16.0,0.0,,209189,1.62993,9788.0,Azul,235.0,2015.0,,0.0,
57.0,"O ar atmosférico pode ser utilizado para
armazenar o excedente de energia gerada no
sistema elétrico, diminuindo seu desperdício, por
meio do seguinte processo: água e gás carbônico
são inicialmente removidos do ar atmosférico e
a massa de ar restante é resfriada até −198 °C.
Presente na proporção de 78% dessa massa de ar, o
nitrogênio gasoso é liquefeito, ocupando um volume
700 vezes menor. A energia excedente do sistema
elétrico é utilizada nesse processo, sendo parcialmente
recuperada quando o nitrogênio líquido, exposto à
temperatura ambiente, entra em ebulição e se expande,
fazendo girar turbinas que convertem energia mecânica
em energia elétrica.
 Disponível em: Lnk
No processo descrito, o excedente de energia elétrica é
armazenado pela",expansão do nitrogênio durante a ebulição.,absorção de calor pelo nitrogênio durante a ebulição.,"realização de trabalho sobre o nitrogênio durante a
liquefação.","retirada de água e gás carbônico da atmosfera antes
do resfriamento.","liberação de calor do nitrogênio para a vizinhança
durante a liquefação.",57.0,CN,53544.0,C,8.0,0.0,,2.0418,1.58166,15275.0,Azul,235.0,2015.0,,0.0,
58.0,"Alimentos em conserva são frequentemente
armazenados em latas metálicas seladas, fabricadas com
um material chamado folha de flandres, que consiste de
uma chapa de aço revestida com uma fina camada de
estanho, metal brilhante e de difícil oxidação. É comum
que a superfície interna seja ainda revestida por uma
camada de verniz à base de epóxi, embora também
existam latas sem esse revestimento, apresentando uma
camada de estanho mais espessa.

Comprar uma lata de conserva amassada no
supermercado é desaconselhável porque o amassado
pode","alterar a pressão no interior da lata, promovendo a
degradação acelerada do alimento.","romper a camada de estanho, permitindo a corrosão
do ferro e alterações do alimento.","prejudicar o apelo visual da embalagem, apesar de
não afetar as propriedades do alimento.","romper a camada de verniz, fazendo com que o metal
tóxico estanho contamine o alimento.","desprender camadas de verniz, que se dissolverão no
meio aquoso, contaminando o alimento.",58.0,CN,11392.0,B,25.0,0.0,,197347,0.82194,21998.0,Azul,235.0,2015.0,,0.0,
59.0,"Uma forma de organização de um sistema biológico
é a presença de sinais diversos utilizados pelos
indivíduos para se comunicarem. No caso das abelhas
da espécie Apis mellifera, os sinais utilizados podem ser
feromônios. Para saírem e voltarem de suas colmeias,
usam um feromônio que indica a trilha percorrida por elas
(Composto A). Quando pressentem o perigo, expelem um
feromônio de alarme (Composto B), que serve de sinal
para um combate coletivo. O que diferencia cada um
desses sinais utilizados pelas abelhas são as estruturas e
funções orgânicas dos feromônios.
Img
Img
As funções orgânicas que caracterizam os feromônios de
trilha e de alarme são, respectivamente,",álcool e éster.,aldeído e cetona.,éter e hidrocarboneto.,enol e ácido carboxílico.,ácido carboxílico e amida.,59.0,CN,13934.0,A,24.0,0.0,,329756,1.06404,21395.0,Azul,235.0,2015.0,,0.0,
60.0,"O permanganato de potássio (KMnO4) é um agente
oxidante forte muito empregado tanto em nível laboratorial
quanto industrial. Na oxidação de alcenos de cadeia
normal, como o 1-fenil-1-propeno, ilustrado na figura, o
KMnO4
é utilizado para a produção de ácidos carboxílicos.

Img

Os produtos obtidos na oxidação do alceno representado,
em solução aquosa de KMnO4
, são:",Ácido benzoico e ácido etanoico.,Ácido benzoico e ácido propanoico.,Ácido etanoico e ácido 2-feniletanoico.,Ácido 2-feniletanoico e ácido metanoico.,Ácido 2-feniletanoico e ácido propanoico.,60.0,CN,17984.0,A,24.0,0.0,,397312,2.11423,1322.0,Azul,235.0,2015.0,,0.0,
61.0,"O nitrogênio é essencial para a vida e o maior
reservatório global desse elemento, na forma de N2
,
é a atmosfera. Os principais responsáveis por sua
incorporação na matéria orgânica são microrganismos
fixadores de N2

, que ocorrem de forma livre ou simbiontes

com plantas.

Animais garantem suas necessidades metabólicas desse
elemento pela",absorção do gás nitrogênio pela respiração.,ingestão de moléculas de carboidratos vegetais.,"incorporação de nitritos dissolvidos na água
consumida.","transferência da matéria orgânica pelas cadeias
tróficas.","protocooperação com microrganismos fixadores de
nitrogênio.",61.0,CN,12710.0,D,9.0,0.0,,268585,1.34192,13539.0,Azul,235.0,2015.0,,0.0,
62.0,"Em um experimento, colocou-se água até a metade
da capacidade de um frasco de vidro e, em seguida,
adicionaram-se três gotas de solução alcoólica de
fenolftaleína. Adicionou-se bicarbonato de sódio
comercial, em pequenas quantidades, até que a solução
se tornasse rosa. Dentro do frasco, acendeu-se um
palito de fósforo, o qual foi apagado assim que a
cabeça terminou de queimar. Imediatamente, o frasco
foi tampado. Em seguida, agitou-se o frasco tampado e
observou-se o desaparecimento da cor rosa.

A explicação para o desaparecimento da cor rosa é que,
com a combustão do palito de fósforo, ocorreu o(a)",formação de óxidos de caráter ácido.,evaporação do indicador fenolftaleína.,vaporização de parte da água do frasco.,vaporização dos gases de caráter alcalino.,aumento do pH da solução no interior do frasco.,62.0,CN,8199.0,A,18.0,0.0,,294609,1.43237,12312.0,Azul,235.0,2015.0,,0.0,
63.0,"Uma pessoa abre sua geladeira, verifica o que
há dentro e depois fecha a porta dessa geladeira.
Em seguida, ela tenta abrir a geladeira novamente, mas
só consegue fazer isso depois de exercer uma força mais
intensa do que a habitual.
A dificuldade extra para reabrir a geladeira ocorre
porque o(a)",volume de ar dentro da geladeira diminuiu.,"motor da geladeira está funcionando com potência
máxima.","força exercida pelo ímã fixado na porta da geladeira
aumenta.","pressão no interior da geladeira está abaixo da
pressão externa.","temperatura no interior da geladeira é inferior ao valor
existente antes de ela ser aberta.",63.0,CN,17436.0,D,21.0,0.0,,142594,0.40984,3604.0,Azul,235.0,2015.0,,0.0,
64.0,"Uma análise criteriosa do desempenho de Usain
Bolt na quebra do recorde mundial dos 100 metros rasos
mostrou que, apesar de ser o último dos corredores
a reagir ao tiro e iniciar a corrida, seus primeiros
30 metros foram os mais velozes já feitos em um recorde
mundial, cruzando essa marca em 3,78 segundos. Até se
colocar com o corpo reto, foram 13 passadas, mostrando
sua potência durante a aceleração, o momento mais
importante da corrida. Ao final desse percurso, Bolt havia
atingido a velocidade máxima de 12 m/s.
Disponível em: Lnk

Supondo que a massa desse corredor seja igual a 90 kg,
o trabalho total realizado nas 13 primeiras passadas é
mais próximo de:",540 J,6500 J,8600 J,13000 J,32000 J,64.0,CN,28968.0,B,20.0,0.0,,311834,2.74381,24085.0,Azul,235.0,2015.0,,0.0,
65.0,"Uma garrafa térmica tem como função evitar a
troca de calor entre o líquido nela contido e o ambiente,
mantendo a temperatura de seu conteúdo constante.
Uma forma de orientar os consumidores na compra de
uma garrafa térmica seria criar um selo de qualidade,
como se faz atualmente para informar o consumo de
energia de eletrodomésticos. O selo identificaria cinco
categorias e informaria a variação de temperatura do
conteúdo da garrafa, depois de decorridas seis horas de
seu fechamento, por meio de uma porcentagem do valor
inicial da temperatura de equilíbrio do líquido na garrafa.
O quadro apresenta as categorias e os intervalos de
variação percentual da temperatura.
Img
Para atribuir uma categoria a um modelo de garrafa
térmica, são preparadas e misturadas, em uma garrafa,
duas amostras de água, uma a 10 °C e outra a 40 °C,
na proporção de um terço de água fria para dois terços
de água quente. A garrafa é fechada. Seis horas depois,
abre-se a garrafa e mede-se a temperatura da água,
obtendo-se 16 °C.
Qual selo deveria ser posto na garrafa térmica testada?
",A,B,C,D,E,65.0,CN,28652.0,D,21.0,0.0,,6716-02-01 00:00:00,1.44219,18525.0,Azul,235.0,2015.0,,0.0,
66.0,"A cariotipagem é um método que analisa células de
um indivíduo para determinar seu padrão cromossômico.
Essa técnica consiste na montagem fotográfica, em
sequência, dos pares de cromossomos e permite identificar
um indivíduo normal (46, XX ou 46, XY) ou com alguma
alteração cromossômica. A investigação do cariótipo
de uma criança do sexo masculino com alterações
morfológicas e comprometimento cognitivo verificou que
ela apresentava fórmula cariotípica 47, XY, +18.
A alteração cromossômica da criança pode ser
classificada como","estrutural, do tipo deleção.","numérica, do tipo euploidia.","numérica, do tipo poliploidia.","estrutural, do tipo duplicação.","numérica, do tipo aneuploidia.",66.0,CN,9302.0,E,29.0,0.0,,340327,2.65294,10534.0,Azul,235.0,2015.0,,0.0,
67.0,"Durante uma expedição, um grupo de estudantes
perdeu-se de seu guia. Ao longo do dia em que esse
grupo estava perdido, sem água e debaixo de sol, os
estudantes passaram a sentir cada vez mais sede.
Consequentemente, o sistema excretor desses indivíduos
teve um acréscimo em um dos seus processos funcionais.
Nessa situação o sistema excretor dos estudantes",aumentou a filtração glomerular.,produziu maior volume de urina.,produziu urina com menos ureia.,produziu urina com maior concentração de sais.,reduziu a reabsorção de glicose e aminoácidos.,67.0,CN,60855.0,D,14.0,0.0,,112476,0.26042,964.0,Azul,235.0,2015.0,,0.0,
68.0,"Um estudante, precisando instalar um computador,
um monitor e uma lâmpada em seu quarto, verificou
que precisaria fazer a instalação de duas tomadas e
um interruptor na rede elétrica. Decidiu esboçar com
antecedência o esquema elétrico.
“O circuito deve ser tal que as tomadas e a lâmpada
devem estar submetidas à tensão nominal da rede elétrica
e a lâmpada deve poder ser ligada ou desligada por um
interruptor sem afetar os outros dispositivos” — pensou.
Símbolos adotados:

Lâmpada: Img Tomada: Img Interruptor: Img

Qual dos circuitos esboçados atende às exigências?",Img,Img,Img,Img,Img,68.0,CN,61065.0,E,5.0,0.0,,193234,0.47118,16976.0,Azul,235.0,2015.0,,0.0,
69.0,"Normalmente, as células do organismo humano
realizam a respiração aeróbica, na qual o consumo de uma
molécula de glicose gera 38 moléculas de ATP. Contudo,
em condições anaeróbicas, o consumo de uma molécula
de glicose pelas células é capaz de gerar apenas duas
moléculas de ATP.

Img

Qual curva representa o perfil de consumo de glicose,
para manutenção da homeostase de uma célula que
inicialmente está em uma condição anaeróbica e é
submetida a um aumento gradual da concentração
de oxigênio?",1,2,3,4,5,69.0,CN,17718.0,E,15.0,0.0,,209921,1.64836,12058.0,Azul,235.0,2015.0,,0.0,
70.0,"Um garoto foi à loja comprar um estilingue e
encontrou dois modelos: um com borracha mais “dura”
e outro com borracha mais “mole”. O garoto concluiu
que o mais adequado seria o que proporcionasse maior
alcance horizontal, D, para as mesmas condições de
arremesso, quando submetidos à mesma força aplicada.
Sabe-se que a constante elástica kd

(do estilingue mais
“duro”) é o dobro da constante elástica km (do estilingue
mais “mole”).
A razão entre os alcances
Dd/Dm
, referentes aos estilingues
com borrachas “dura” e “mole”, respectivamente, é igual a",2025-04-01 00:00:00,2025-02-01 00:00:00,1,2,4,70.0,CN,53958.0,B,6.0,0.0,,1929,61.05459,21513.0,Azul,235.0,2015.0,,0.0,
71.0,"Vários ácidos são utilizados em indústrias que
descartam seus efluentes nos corpos d’água, como
rios e lagos, podendo afetar o equilíbrio ambiental.
Para neutralizar a acidez, o sal carbonato de
cálcio pode ser adicionado ao efluente, em
quantidades apropriadas, pois produz bicarbonato,
que neutraliza a água. As equações envolvidas no
processo são apresentadas:
(I) CaCO3(s) + CO2(g) + H2O (l) Ca2+(aq) + 2 HCO3-(aq)

(II) HCO3-(aq) H+(aq) + CO32-(aq) 
K1= 3,0×10-11

(III) CaCO3(s) Ca2+(aq) + CO32-(aq) 
K2= 6,0×10-9

(IV) CO2(g) + H2O (l) H+(aq) + HCO3-(aq) 
K3 = 2,5×10-7
Com base nos valores das constantes de equilíbrio das
reações II, III e IV a 25 °C, qual é o valor numérico da
constante de equilíbrio da reação I?","4,5×10e−26","5,0×10e-5","0,8×10e-9","0,2×10e5","2,2×10e26",71.0,CN,13038.0,B,26.0,0.0,,228578,2.26051,2274.0,Azul,235.0,2015.0,,0.0,
72.0,"Tanto a febre amarela quanto a dengue são doenças
causadas por vírus do grupo dos arbovírus, pertencentes
ao gênero Flavivirus, existindo quatro sorotipos para
o vírus causador da dengue. A transmissão de ambas
acontece por meio da picada de mosquitos, como o
Aedes aegypti. Entretanto, embora compartilhem essas
características, hoje somente existe vacina, no Brasil, para
a febre amarela e nenhuma vacina efetiva para a dengue.
 Disponível em: Lnk
Esse fato pode ser atribuído à","maior taxa de mutação do vírus da febre amarela do
que do vírus da dengue.","alta variabilidade antigênica do vírus da dengue em
relação ao vírus da febre amarela.","menor adaptação do vírus da dengue à população
humana do que do vírus da febre amarela.","presença de dois tipos de ácidos nucleicos no vírus da
dengue e somente um tipo no vírus da febre amarela.","baixa capacidade de indução da resposta imunológica
pelo vírus da dengue em relação ao da febre amarela.",72.0,CN,31888.0,B,2.0,0.0,,144387,0.55025,22037.0,Azul,235.0,2015.0,,0.0,
73.0,"A bomba
reduz neutros e neutrinos, e abana-se com o leque da
reação em cadeia

Nesse fragmento de poema, o autor refere-se à bomba
atômica de urânio. Essa reação é dita “em cadeia” porque na","fissão do 235U ocorre liberação de grande quantidade
de calor, que dá continuidade à reação.","fissão de 235U ocorre liberação de energia, que vai
desintegrando o isótopo 238U, enriquecendo-o em
mais 235U.","fissão do 235U ocorre uma liberação de nêutrons, que
bombardearão outros núcleos.","fusão do 235U com 238U ocorre formação de neutrino,
que bombardeará outros núcleos radioativos.","fusão do 235U com 238U ocorre formação de
outros elementos radioativos mais pesados, que
desencadeiam novos processos de fusão.",73.0,CN,54393.0,C,22.0,0.0,,255499,1.34587,1744.0,Azul,235.0,2015.0,,0.0,
74.0,"A palavra “biotecnologia” surgiu no século XX,
quando o cientista Herbert Boyer introduziu a informação
responsável pela fabricação da insulina humana em uma
bactéria, para que ela passasse a produzir a substância.
Disponível em: Lnk
As bactérias modificadas por Herbert Boyer passaram a
produzir insulina humana porque receberam",a sequência de DNA codificante de insulina humana.,a proteína sintetizada por células humanas.,um RNA recombinante de insulina humana.,o RNA mensageiro de insulina humana.,um cromossomo da espécie humana.,74.0,CN,28572.0,A,11.0,0.0,,337114,1.52381,2353.0,Azul,235.0,2015.0,,0.0,
75.0,"Será que uma miragem ajudou a afundar o Titanic?
O fenômeno ótico conhecido como Fata Morgana
pode fazer com que uma falsa parede de água
apareça sobre o horizonte molhado. Quando as
condições são favoráveis, a luz refletida pela água fria
pode ser desviada por uma camada incomum de ar
quente acima, chegando até o observador, vinda de
muitos ângulos diferentes. De acordo com estudos de
pesquisadores da Universidade de San Diego, uma Fata
Morgana pode ter obscurecido os icebergs da visão da
tripulação que estava a bordo do Titanic. Dessa forma, a
certa distância, o horizonte verdadeiro fica encoberto por
uma névoa escurecida, que se parece muito com águas
calmas no escuro.

Disponível em: Lnk

O fenômeno ótico que, segundo os pesquisadores,
provoca a Fata Morgana é a",ressonância.,refração.,difração.,reflexão.,difusão.,75.0,CN,32095.0,B,1.0,0.0,,142096,1.65967,22314.0,Azul,235.0,2015.0,,0.0,
76.0,"Para proteger estruturas de aço da corrosão, a
indústria utiliza uma técnica chamada galvanização.
Um metal bastante utilizado nesse processo é o zinco,
que pode ser obtido a partir de um minério denominado
esfalerita (ZnS), de pureza 75%. Considere que a
conversão do minério em zinco metálico tem rendimento
de 80% nesta sequência de equações químicas:
2 ZnS + 3 O2 → 2 ZnO + 2 SO2
ZnO + CO → Zn + CO2
Considere as massas molares: ZnS (97 g/mol); O2
(32 g/mol);

ZnO (81 g/mol); SO2

(64 g/mol); CO (28 g/mol); CO2
(44 g/mol);

e Zn (65 g/mol).
Que valor mais próximo de massa de zinco metálico,
em quilogramas, será produzido a partir de 100 kg de
esfalerita?",25,33,40,50,54,76.0,CN,54020.0,C,25.0,0.0,,332423,2.06056,21201.0,Azul,235.0,2015.0,,0.0,
77.0,"Hidrocarbonetos podem ser obtidos em laboratório
por descarboxilação oxidativa anódica, processo
conhecido como eletrossíntese de Kolbe. Essa reação
é utilizada na síntese de hidrocarbonetos diversos, a
partir de óleos vegetais, os quais podem ser empregados
como fontes alternativas de energia, em substituição
aos hidrocarbonetos fósseis. O esquema ilustra
simplificadamente esse processo.
Img
Com base nesse processo, o hidrocarboneto produzido
na eletrólise do ácido 3,3-dimetil-butanoico é o","2,2,7,7-tetrametil-octano.","3,3,4,4-tetrametil-hexano.","2,2,5,5-tetrametil-hexano.","3,3,6,6-tetrametil-octano.","2,2,4,4-tetrametil-hexano.",77.0,CN,17985.0,C,26.0,0.0,,461633,2.02938,16653.0,Azul,235.0,2015.0,,0.0,
78.0,"A definição de queimadura é bem ampla, porém,
basicamente, é a lesão causada pela ação direta ou
indireta produzida pela transferência de calor para o
corpo. A sua manifestação varia desde bolhas (flictenas)
até formas mais graves, capazes de desencadear
respostas sistêmicas proporcionais à gravidade da lesão
e sua respectiva extensão. Muitas vezes, os primeiros
socorros prestados à vítima, ao invés de ajudar, acabam
agravando ainda mais a situação do paciente.
Disponível em: Lnk
Ao se deparar com um indivíduo que sofreu queimadura
com formação de flictena, o procedimento de primeiros
socorros que deve ser realizado antes de encaminhar o
paciente ao hospital é",colocar gelo sobre a flictena para amenizar o ardor.,utilizar manteiga para evitar o rompimento da flictena.,"passar creme dental para diminuir a ardência da
flictena.","perfurar a flictena para que a água acumulada seja
liberada.","cobrir a flictena com gazes molhadas para evitar a
desidratação.",78.0,CN,10883.0,E,3.0,0.0,,49684,-0.34227,3024.0,Azul,235.0,2015.0,,0.0,
79.0,"As altas temperaturas de combustão e o atrito
entre suas peças móveis são alguns dos fatores que
provocam o aquecimento dos motores à combustão
interna. Para evitar o superaquecimento e consequentes
danos a esses motores, foram desenvolvidos os atuais
sistemas de refrigeração, em que um fluido arrefecedor
com propriedades especiais circula pelo interior do motor,
absorvendo o calor que, ao passar pelo radiador, é
transferido para a atmosfera.
Qual propriedade o fluido arrefecedor deve possuir para
cumprir seu objetivo com maior eficiência?",Alto calor específico.,Alto calor latente de fusão.,Baixa condutividade térmica.,Baixa temperatura de ebulição.,Alto coeficiente de dilatação térmica.,79.0,CN,27229.0,A,18.0,0.0,,354575,1.19904,8842.0,Azul,235.0,2015.0,,0.0,
80.0,"Pesticidas são substâncias utilizadas para promover
o controle de pragas. No entanto, após sua aplicação em
ambientes abertos, alguns pesticidas organoclorados
são arrastados pela água até lagos e rios e, ao passar
pelas guelras dos peixes, podem difundir-se para seus
tecidos lipídicos e lá se acumularem.
A característica desses compostos, responsável pelo
processo descrito no texto, é o(a)",baixa polaridade.,baixa massa molecular.,ocorrência de halogênios.,tamanho pequeno das moléculas.,presença de hidroxilas nas cadeias.,80.0,CN,30542.0,A,10.0,0.0,,223508,1.61903,18711.0,Azul,235.0,2015.0,,0.0,
81.0,"A calda bordalesa é uma alternativa empregada
no combate a doenças que afetam folhas de plantas.
Sua produção consiste na mistura de uma solução
aquosa de sulfato de cobre(II), CuSO4, com óxido de
cálcio, CaO, e sua aplicação só deve ser realizada se
estiver levemente básica. A avaliação rudimentar da
basicidade dessa solução é realizada pela adição de
três gotas sobre uma faca de ferro limpa. Após três
minutos, caso surja uma mancha avermelhada no
local da aplicação, afirma-se que a calda bordalesa
ainda não está com a basicidade necessária. O quadro
apresenta os valores de potenciais padrão de redução (E°)
para algumas semirreações de redução.
Img
A equação química que representa a reação de formação
da mancha avermelhada é:","Ca2+(aq) + 2 Cu+(aq) → Ca (s) + 2 Cu2+
(aq).","Ca2+(aq) + 2 Fe2+(aq) → Ca (s) + 2 Fe3+
(aq).","Cu2+(aq) + 2 Fe2+(aq) → Cu (s) + 2 Fe3+
(aq).","3 Ca2+(aq) + 2 Fe (s) → 3 Ca (s) + 2 Fe3+
(aq).","3 Cu2+(aq) + 2 Fe (s) → 3 Cu (s) + 2 Fe3+
(aq).",81.0,CN,24592.0,E,19.0,0.0,,6703-02-01 00:00:00,1.8796,13692.0,Azul,235.0,2015.0,,0.0,
